"tweet_id","text"
1506217732219494400,"mark late aiq podcast steve farrall talk benefit neurodiverse workforce listen podcast"
1506219813470932992,"neurodiversity celebration week swing join celebrate live experience neurodivergent student graduate colleague week event webinars workshop"
1506219820592807936,"register neurodiversity amp build environment inclusive space webinar panel discussion reflect build environment transform experience outcome neurodivergent people"
1506228016657182720,"week neurodiversity celebration week uk neurodiverse neurodiversity describe difference brain include feel learn"
1506228370673176576,"join chief innovation officer rhiannon parker wednesday march gmt celebrate neurodiversity workplace session business disability forum bdf register free"
1506239360559104000,"celebrate brilliant skill staff bring business creativity drive passion solve workplace thrive"
1506259239790129152,"oxleas support neurodiversity celebration week neurodiversity celebration week worldwide initiative challenge stereotype misconception neurological difference check info event"
1506260204660396032,"employer keen learn neurodiversitythe legal context amp create inclusive environment join introduction support neurodivergent employee april ampm click book"
1506266145854271488,"host student ahead neurodiversity week learn development manager provide day fill career advice playtesting learn"
1506269679509250048,"speak ceo overcome challenge watch interview"
1506273939185676288,"special guest blog post john robison york time bestselling author eye teacher lead neurodiversity"
1506277018001883136,"ability ireland lead body perform art support neurodiversity amp mental health deliver bespeak creativelife skill programme check upcoming event teen amp kid"
1506278400524267520,"tomorrow pm join free online event neurodiversity"
1506280453585747968,"mark neurodiversity celebration week md personal line owen morris share neurodiversity workplace aviva support neurodiverse people"
1506282314497679360,"celebrate neurodiversity celebration week organise day conference series event highlight neurodivergent voice celebrate support offer exeter"
1506283062790967296,"reward watch child develop step neurodivergent child huge louise senior autism adhd specialist practitioner louise share expertise neurodiversity"
1506283610881634304,"love neurodiversity not_already neurodiverse not_stop people achieve succeed"
1506284631615840256,"week mark worldwide initiative aim transform neurodivergent individual perceive support involve activity happen city"
1506284873660649472,"celebrate neurodiversity healthcare join wednesday excite panel discussion neurodiversity healthcare register"
1506284876152152064,"proud support celebration week embrace talent unique learn neurodiverse people contribute society neurodiversity cover adhd autism dyslexia dyspraxia developmental language disorder"
1506285214200471552,"celebrate neurodiversity healthcare join wednesday excite panel discussion neurodiversity healthcare register"
1506296652189028352,"neurodiversity celebration week break online barrier enable customise digital experience suit check recite accessibility language tool website"
1506299789675270144,"shock autistic people uk form employment read build workplace article"
1506300056969875456,"neurodiversity week march worldwide celebration seek recognise challenge people live autism adhd dyslexia dyspraxia celebrate strength talent neurodiverse"
1506308467652444160,"proud found organisation draw knowledge neurodivergent expert lead company share practice improve employment experience neurodiverse workforce"
1506322543656980480,"congratulate person neurodiversity change individual commitment amp collective movement check schedule event"
1506351539044163584,"neurodivergent people not_have neurodiversity not_with effort listen"
1506360062129979392,"neurodiversity week reminder ignorant son autism diagnosis change celine assaf"
1506400525100908544,"totally lot people disability class sort unspoken rule invisible hear loss impair vision neurodiversity lot chronic mental health disability"
1506409873541672960,"neurodiversity celebration week amp provide awareness not_mean bad creative compassionate thoughtful"
1.506410972223e+18,"no_two people read article everyones brain interact world neurodiversity difference normal not_deficit celebrate"
1506541439068655616,"people neurodiversity choose additional support adjustment require neurodivergent share comment"
1506559014313906176,"week highlight neurodiversity celebration week patrick sharkey speak people challenge overcome daily life ep autism"
1506563110672515072,"neurodivergent untapped talent neurodivergent thinker skill employer digital tech industry cyber security gaming design code compliance"
1506571481748226048,"free introductory understand employer provide support overview neurodivergence legal implication support neurodivergent employee book"
1506571651227471872,"celebrate neurodiversity healthcare join excite panel discussion neurodiversity healthcare register"
1506571798451789824,"proud support time challenge misconception neurological difference celebrate neurodiverse mind increase understand neurodiversity"
1506571829477060608,"celebrate neurodiversity healthcare join excite panel discussion neurodiversity healthcare register"
1506575740271316992,"happy belated neurodiversity week observe adhd clock event day finish"
1506580403846631424,"𝐍𝐞𝐮𝐫𝐨𝐝𝐢𝐯𝐞𝐫𝐬𝐢𝐭𝐲 𝐂𝐞𝐥𝐞𝐛𝐫𝐚𝐭𝐢𝐨𝐧 𝐖𝐞𝐞𝐤 edgbaston recently launch ensure feel enjoy cricket celebrate neurodiversity wareness week step learn support"
1506583224960618496,"join neurodiversity team guide mindfulness walk local lunchtime destress enjoy beautiful weather pm meet northampton square bandstand"
